1;1;fr;De quel petit objet se munit le golfeur pour surélever sa balle avant de la frapper ?;Tee;1
1;2;fr;Quel sport de raquette porte le nom de la ville anglaise où il fut inventé ?;Badminton;1
1;3;fr;Combien y a-t-il de joueurs sur le terrain dans une équipe de football ?;Onze;1
1;4;fr;Quel tapis à ressorts sert au gymnaste à faire toutes sortes de figures ?;Trampoline;1
1;5;fr;Que réussit une équipe de rugby qui remporte les quatre matches du Tournoi des Six Nations ?;Grand chelem;1
1;6;fr;Que signale le drapeau à damier noir et jaune dans une station de sports d'hiver ?;Risque d'avalanche;1
1;7;fr;Au golf, au milieu de quoi le trou est-il généralement placé ?;Green;1
1;8;fr;Laquelle de ces propositions ne retrouve-t-on pas sur un vélo de sprinter sur piste ?;Freins;1
1;9;fr;Comment appelle-t-on une descente rapide en ski alpin ?;Schuss;1
1;10;fr;Quel nombre de jeux chaque set de tennis comporte-t-il ?;Au moins six;1
1;11;fr;En épreuve de saut en longueur, à combien d'essais chaque concurrent a-t-il droit ?;Trois;2
1;12;fr;En kayak, de quel type de pagaie se sert-on pour avancer ou reculer ?;Double;2
1;13;fr;Quel était le nom de la navigatrice en solitaire française, skipper du Biotherm ?;Florence Artaud;2
1;14;fr;Dans le jargon de l'alpinisme, que fait un alpiniste qui dévisse ?;Il tombe;2
1;15;fr;En escrime, quelle est la troisième arme blanche avec l'épée et le fleuret ?;Sabre;2
1;16;fr;À quelle grande gymnaste roumaine Ecaterina Szabo a-t-elle succédé ?;Nadia Comaneci;2
1;17;fr;Avec quel entraîneur la France a-t-elle remporté la Coupe d'Europe de football de 1984 ?;Michel Hidalgo;2
1;18;fr;Dans quel sport est-il préférable d'avoir un bon coup de pelle ?;L'aviron;2
1;19;fr;Quel sport reste à ce jour le sport préféré des collégiens anglais ?;Cricket;2
1;20;fr;Comment le barreur dirige-t-il ses coéquipiers en aviron ?;Au porte-voix;2
1;21;fr;En baseball, combien de joueurs se trouvent sur le terrain en défense ?;Neuf;3
1;22;fr;En ski, le christiana est une technique permettant d'effectuer quelle manoeuvre ?;Virage;3
1;23;fr;Combien les Américains ont-ils gagné de médailles aux Jeux olympiques d'été de 1984 ?;174;3
1;24;fr;Quelle équipe de rugby a comme emblème une antilope sur maillot vert et sombre ?;Afrique du Sud;3
1;25;fr;Quelle moto possède la cylindrée la plus adaptée au trial ?;250 cc;3
1;26;fr;Combien d'heures la course cycliste des Six Jours de Paris durait-elle ?;144 heures;3
1;27;fr;En croquet, que devient une boule qui franchit tous les arceaux sans toucher le piquet ?;Corsaire;3
1;28;fr;Quelle course de fond suédoise emprunte la piste des Dalécarliens ?;Vasaloppet;3
1;29;fr;Quelle planche de surf pour grosses vagues permet de démarrer très tôt sur la vague ?;Gun;3
1;30;fr;Dans quelle ville les premiers jeux Olympiques d'hiver ont-ils eu lieu en 1924 ?;Chamonix;3
